"","Submission ID","UserId","Submission time","DistrictName","UpazilaName","Rice","Value - Rice"
"1","6b7483a2-25c7-4fa9-864e-4b5545bb1783","173dcb872759ee4b05745b23a2e7ae34",2024-11-30 23:32:19,"Dhaka","Adabor",1,67
"2","0e3b61f1-8e21-4f05-aea0-b7226a0946e6","173dcb872759ee4b05745b23a2e7ae34",2024-11-30 23:48:36,"Dhaka","Dhanmondi",1,66
"3","8d07e7ca-e22f-44be-b5c6-3eb9a8ec71c1","0859ee7098b0fcd674aeb822126f986a",2024-12-01 04:32:29,"Dhaka","Badda",1,72
"4","c66083e5-1cd2-4697-856b-31c3f1e3b00d","fae74bc76cf6016774eb072b7ad97bb8",2024-12-03 16:25:33,"Dhaka","Pallabi",1,72
"5","228625d6-bc6c-4776-b20b-8ac43923c8d2","24d4f26a0359322aa9de9b83d25d2875",2024-12-02 12:06:00,"Dhaka","Mohammadpur",1,73
"6","d7ed0df1-13ae-4691-a3a5-55d0dafaffc8","3c4da5d5300f1fadba9801b5e8828301",2024-12-13 08:30:45,"Dhaka","Mohammadpur",1,75
"7","70f25470-7afe-4eca-a9ac-0e4ed3bbecce","def257dca811221bae96896a448afced",2024-12-13 10:25:14,"Naogaon","Mahadebpur",1,80
"8","71c3316e-9cfb-4e4c-bf4b-7de9c2acd876","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:34:52,"Rajshahi","Boalia",1,85
"9","2c702645-a666-4b1a-a901-07a8f405beb5","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:38:38,"Rajshahi","Boalia",1,60
"10","e6f9d9fe-bd80-45e6-8b70-a5f4a9c4eda9","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:40:36,"Rajshahi","Boalia",1,60
"11","df67a8c1-667c-4dd5-85ee-cc7e9609a3f1","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:42:23,"Rajshahi","Boalia",1,92
"12","e78b4cba-d3e7-45a1-8ae0-d89ad27fb7b6","12bc8f52864c56c3dfbd8905a123f20c",2024-12-13 15:56:07,"Bhola","Bhola Sadar",1,55
"13","81599a56-3da4-43f1-945f-960462cd7a7b","2e714926004c88ebae4732420decc6ad",2024-12-13 18:25:03,"Rajshahi","Matihar",1,70
"14","99d8eed4-bcb3-43fb-a836-a58c82191724","fac23943615c3724d0894d7c0fcbd59d",2024-12-13 23:54:47,"Dhaka","Badda",1,60
"15","c40ab17b-aabb-4f96-9c27-e720a5b1ebc5","99bb15d88bd10d920ac1935d4178f920",2024-12-14 03:30:14,"Rajshahi","Matihar",1,78
"16","b7514333-d231-4679-8e63-b157f552a420","d547544b4104adf9c8861778073e43bc",2024-12-14 05:13:42,"Rajshahi","Matihar",1,80
"17","f9d0eeca-12f8-4eba-8792-a77be4d9af71","7b7a5d99d4b5c147a536d7fba7923a3f",2024-12-14 13:41:06,"Khulna","Sonadanga",1,NA
"18","1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",2024-12-14 13:46:04,"Pabna","Sujanagar",1,70
"19","ec8080d2-463e-4e0a-8be4-95080ddd775a","572d1680512266ab142dd3e235069a1f",2024-12-14 16:28:54,"Rajshahi","Matihar",1,66
"20","9d246480-ccca-426d-85be-8037fc3553dc","fe131476aa453d8177177dbc868e8265",2024-12-15 12:50:21,"Rajshahi","Matihar",1,60
"21","19b375a0-13f7-4f6d-b49d-beda2e3ff268","fe131476aa453d8177177dbc868e8265",2024-12-15 12:52:58,"Rajshahi","Matihar",1,60
"22","5143d867-9747-43b1-9550-ca01d9a30337","2b8427508a9e3bcf9e579578f6629e08",2024-12-15 17:41:04,"Rajshahi","Boalia",1,160
"23","42b237c2-4fe3-489e-8d23-bdfc381a31cf","886e897b7c9a8a66297d024a696f2c93",2024-12-17 04:42:32,"Bandarban","Alikadam",1,52
"24","2a402d5d-568b-44cf-9993-503758745d37","cace0976269890ca006283f9703bae92",2024-12-17 13:37:44,"Jessore","Kotwali",1,70
"25","92938f7d-9079-4835-8b8c-2977f4dd6e4a","7ceac72b25b304a7f5f0783c2498e89a",2024-12-17 15:12:02,"Dhaka","Adabor",1,63
"26","ddf9279c-9050-4a1b-aa80-7921fc510bcd","2e714926004c88ebae4732420decc6ad",2024-12-17 16:48:40,"Rajshahi","Matihar",1,72
"27","b38f6524-8ae1-441b-b42d-44854c0fdb29","b0090872a6819c04bf810bd47f50ede1",2024-12-17 17:41:54,"Rajshahi","Matihar",1,68
"28","bea6e2e5-c89d-4063-85e8-1c1151f07a1f","2b8427508a9e3bcf9e579578f6629e08",2024-12-18 04:39:03,"Rajshahi","Boalia",1,68
"29","3d87201b-4b22-48f8-a1b9-2d0855a5667b","99bb15d88bd10d920ac1935d4178f920",2024-12-18 15:20:59,"Rangpur","Kotwali",1,78
"30","2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia",1,60
"31","f8f521f7-fafd-415a-94de-b0b36ca46e14","a0c9335099245d8bbb3ca4e5ac7047bb",2024-12-18 17:22:12,"Rangpur","Rangpur Sadar",1,78
"32","fecc3487-cbf0-4630-96c9-fd69d1aff791","c15251cff68faccf4b27b37e8eb11447",2024-12-18 19:28:23,"Bagerhat","Fakirhat",1,-6666666
"33","8af9ac34-b94b-4cb9-a539-0ca188f5fc0f","da98aeea478e179817116d8e7c93f2ae",2024-12-19 03:31:32,"Chuadanga","Jiban Nagar",1,56
"34","00b4d60d-22e6-4059-b2ba-77674661e61a","2b8427508a9e3bcf9e579578f6629e08",2024-12-19 12:24:40,"Rajshahi","Matihar",1,65
"35","f82eabf5-76ab-4dea-93bb-d1a5d300c4c4","2b8427508a9e3bcf9e579578f6629e08",2024-12-19 12:54:18,"Rajshahi","Matihar",1,65
"36","4646cc18-0584-4ac0-a3b3-3dfb41199a31","3d23abb363856a27c7601fd6672bd5c0",2024-12-19 14:57:45,"Rajshahi","Durgapur",1,68
"37","c59399a8-5d15-4ccc-bc19-d435d9737aa8","fae74bc76cf6016774eb072b7ad97bb8",2024-12-19 16:27:13,"Kushtia","Kushtia Sadar",1,68
"38","84b4a7e3-775a-4db0-af3f-7ff8a526fd9d","440341c3c63400d2681133eca75ae6d4",2024-12-19 16:38:34,"Chuadanga","Damurhuda",1,70
"39","23b4a9e0-59a9-4968-be80-182063603f1e","3166dcb07fff37f2ac8d17c4c940f8f5",2024-12-19 18:47:17,"Rajshahi","Matihar",1,NA
"40","ac519bf2-ca0d-4936-ab29-ef4186c427a4","3166dcb07fff37f2ac8d17c4c940f8f5",2024-12-19 18:53:16,"Rajshahi","Matihar",1,80
"41","c7f0a9c6-50b2-49de-8b36-02d11b06c9d6","b1d010371fae7901b9fd0ed15188a671",2024-12-20 03:39:20,"Rajshahi","Boalia",1,68
"42","6018b470-99a4-4d27-b1d3-a3d7b4181290","f3798a91ad0d80d42d9454a067bf8e79",2024-12-20 12:24:06,"Naogaon","Naogaon Sadar",1,70
"43","1692dbc9-50cc-4fc0-8259-ab12afa8b12c","f0a655c83df418c338ce9002265022e7",2024-12-21 17:12:54,"Dhaka","Keraniganj",1,80
"44","37ff0541-0c37-467a-b06e-c4dfa426cc66","4fae513bd1ff426ef54a61fe24c57671",2024-12-21 17:30:03,"Dinajpur","Dinajpur Sadar",1,65
"45","ba7c47dd-9b06-4716-b3e9-286b22bb42b4","4fae513bd1ff426ef54a61fe24c57671",2024-12-21 17:33:24,"Dinajpur","Dinajpur Sadar",1,72
"46","b66cfbcb-dd5c-4de5-85fe-6b80012e530d","da98aeea478e179817116d8e7c93f2ae",2024-12-22 14:49:33,"Chuadanga","Jiban Nagar",1,56
"47","a5f6f11b-84bb-4e14-9996-4e574354330d","b0090872a6819c04bf810bd47f50ede1",2024-12-23 05:10:18,"Rajshahi","Matihar",1,90
"48","2cded36d-9c5d-49d7-acec-e7ba6d7c0be5","b418c84c822c5c94b4d00209baf0a8ec",2024-12-24 00:57:37,"Cox'S Bazar","Ukhia",1,65
"49","0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar",1,65
"50","58d9c42c-1188-46c3-a71e-6e260525d418","32b27bb857f6895822425dd993bb2ba0",2024-12-26 05:57:29,"Rajshahi","Matihar",1,75
"51","2cf3ab95-3d0b-4321-8988-a56986ec3fa3","b0fc6421227d3f112057cd5dda376f36",2024-12-26 06:33:06,"Barisal","Babuganj",1,75
"52","b85ff01e-3e9b-4e7f-aa14-1a3f80fa90ca","99e66a42ebe1fb52c2e80253943a7649",2024-12-26 11:51:08,"Dhaka","Demra",1,80
"53","d61fed46-069d-4bf1-8208-7e16ca7ef942","fe131476aa453d8177177dbc868e8265",2024-12-27 02:13:01,"Comilla","Comilla Adarsha Sadar",1,65
"54","fd2bf233-5878-498b-a3de-0ff406a2dd6a","d547544b4104adf9c8861778073e43bc",2024-12-31 14:24:16,"Rajshahi","Boalia",1,65
"55","33573d86-2678-4f06-88c1-d51bd635223f","12bc8f52864c56c3dfbd8905a123f20c",2025-01-01 04:14:27,"Rajshahi","Matihar",1,120
"56","5615b6f1-58b4-4cbd-b9dd-f76bc97a667d","b1d010371fae7901b9fd0ed15188a671",2025-01-01 10:11:50,"Rajshahi","Paba",1,72
"57","02246c6a-414a-44b2-bd15-403a9b7da7d9","b0090872a6819c04bf810bd47f50ede1",2025-01-02 10:52:14,"Rajshahi","Matihar",1,75
"58","c09f20a0-dcd5-4a83-a6f9-29295dd1033f","b1d010371fae7901b9fd0ed15188a671",2025-01-04 13:39:07,"Rajshahi","Matihar",1,72
"59","dd895f63-b508-4090-be55-e7de70902b80","886e897b7c9a8a66297d024a696f2c93",2025-01-06 07:52:46,"Gaibandha","Sadullapur",1,65
"60","84c0ef3d-68fb-4dcb-ab6d-a1a648e95508","2b8427508a9e3bcf9e579578f6629e08",2025-01-06 12:14:24,"Pabna","Santhia",1,65
"61","347a9007-efba-4b6a-a6d1-6d733cde1ce6","71c7f4219426d4441355ae3917e30e92",2025-01-06 16:42:20,"Dhaka","Jatrabari",1,70
"62","251325aa-d7c3-4537-a9c6-aab58951d6b8","2121cd939eb18e4942dc891e4d49dd06",2025-01-06 18:16:21,"Rajshahi","Boalia",1,78
"63","9f441d18-b9c7-4eb7-b9b9-eddb89bb5bcc","2121cd939eb18e4942dc891e4d49dd06",2025-01-10 09:44:51,"Rajshahi","Boalia",1,65
"64","298bd292-d46f-45f5-8f07-9e851da59d8d","2121cd939eb18e4942dc891e4d49dd06",2025-01-11 07:35:32,"Rajshahi","Boalia",1,60
"65","dd2dee71-3439-485a-81f2-3abaac4ef4d8","2121cd939eb18e4942dc891e4d49dd06",2025-01-11 07:38:17,"Rajshahi","Boalia",1,70
"66","59806d25-fe16-4387-a51d-a54dd81883aa","572d1680512266ab142dd3e235069a1f",2025-01-13 16:45:11,"Rajshahi","Matihar",1,NA
"67","bc6a1eb3-8c7c-42dd-8777-82a2b30b2c10","2121cd939eb18e4942dc891e4d49dd06",2025-01-15 15:32:32,"Rajshahi","Boalia",1,70
"68","8b0fe601-90fc-48ff-a30e-3a0717f7a700",NA,2025-01-17 11:25:57,"Rajshahi","Boalia",1,70
"69","58290cb7-b2b8-4973-9514-7eb921d72040",NA,2025-01-19 14:46:21,"Dinajpur","Dinajpur Sadar",1,80
"70","9114bfa5-3042-404a-82a4-a946a56b83e6",NA,2025-01-19 15:09:38,"Rajshahi","Matihar",1,64
"71","7fd736ed-591b-4c8e-b74b-8fe4ada61ca8",NA,2025-01-20 15:41:11,"Rajshahi","Matihar",1,55
"72","b0eca3c2-5deb-4ef1-8a2e-3e329028a582",NA,2025-01-20 15:52:07,"Rajshahi","Matihar",1,60
"73","4c601c50-6e7f-4941-8ade-217b5a40b9c8",NA,2025-01-20 15:53:09,"Rajshahi","Matihar",1,70
"74","acdd39c9-3dec-4e8a-a388-28dd546887cf",NA,2025-01-20 15:54:10,"Rajshahi","Matihar",1,65
"75","a90186e2-e7f5-423d-a119-9230249817a4",NA,2025-01-27 05:08:53,"Rajshahi","Matihar",1,60
"76","e8f750f2-0e77-448b-ab10-b9b39d4a9126",NA,2025-01-29 07:56:44,"Rajshahi","Matihar",1,65
