"Submission ID","UserId","Submission time","DistrictName","UpazilaName","Items to Choose","hasProduct","Price"
"00b4d60d-22e6-4059-b2ba-77674661e61a","2b8427508a9e3bcf9e579578f6629e08",2024-12-19 12:24:40,"Rajshahi","Matihar","Rice",1,65
"00b4d60d-22e6-4059-b2ba-77674661e61a","2b8427508a9e3bcf9e579578f6629e08",2024-12-19 12:24:40,"Rajshahi","Matihar","Chicken",8,170
"00b4d60d-22e6-4059-b2ba-77674661e61a","2b8427508a9e3bcf9e579578f6629e08",2024-12-19 12:24:40,"Rajshahi","Matihar","Potato",9,70
"02246c6a-414a-44b2-bd15-403a9b7da7d9","b0090872a6819c04bf810bd47f50ede1",2025-01-02 10:52:14,"Rajshahi","Matihar","Rice",1,75
"02246c6a-414a-44b2-bd15-403a9b7da7d9","b0090872a6819c04bf810bd47f50ede1",2025-01-02 10:52:14,"Rajshahi","Matihar","Soybean Oil",4,175
"02246c6a-414a-44b2-bd15-403a9b7da7d9","b0090872a6819c04bf810bd47f50ede1",2025-01-02 10:52:14,"Rajshahi","Matihar","Eggs",7,44
"02246c6a-414a-44b2-bd15-403a9b7da7d9","b0090872a6819c04bf810bd47f50ede1",2025-01-02 10:52:14,"Rajshahi","Matihar","Chicken",8,185
"038cf941-2a95-4dc7-9f96-50678fdb0acc","def257dca811221bae96896a448afced",2025-01-01 14:50:33,"Naogaon","Mahadebpur","Soybean Oil",4,200
"038cf941-2a95-4dc7-9f96-50678fdb0acc","def257dca811221bae96896a448afced",2025-01-01 14:50:33,"Naogaon","Mahadebpur","Eggs",7,55
"038cf941-2a95-4dc7-9f96-50678fdb0acc","def257dca811221bae96896a448afced",2025-01-01 14:50:33,"Naogaon","Mahadebpur","Eggplant",10,30
"038cf941-2a95-4dc7-9f96-50678fdb0acc","def257dca811221bae96896a448afced",2025-01-01 14:50:33,"Naogaon","Mahadebpur","Onion",11,60
"038cf941-2a95-4dc7-9f96-50678fdb0acc","def257dca811221bae96896a448afced",2025-01-01 14:50:33,"Naogaon","Mahadebpur","Green Chilli",12,40
"03d65280-cf0d-4bd4-bfe8-64f171a50a13","c15251cff68faccf4b27b37e8eb11447",2024-12-14 15:06:43,"Rajshahi","Matihar","Potato",9,100
"0570df77-01cf-4769-9c06-58801d3e56da","2b8427508a9e3bcf9e579578f6629e08",2024-12-21 08:53:47,"Rajshahi","Boalia","Chicken",8,190
"05e90043-916e-4c05-8e1f-6cfc771dc186","2121cd939eb18e4942dc891e4d49dd06",2025-01-02 06:55:00,"Naogaon","Dhamoirhat","Chicken",8,180
"05e90043-916e-4c05-8e1f-6cfc771dc186","2121cd939eb18e4942dc891e4d49dd06",2025-01-02 06:55:00,"Naogaon","Dhamoirhat","Potato",9,50
"05e90043-916e-4c05-8e1f-6cfc771dc186","2121cd939eb18e4942dc891e4d49dd06",2025-01-02 06:55:00,"Naogaon","Dhamoirhat","Eggplant",10,60
"05e90043-916e-4c05-8e1f-6cfc771dc186","2121cd939eb18e4942dc891e4d49dd06",2025-01-02 06:55:00,"Naogaon","Dhamoirhat","Onion",11,60
"05e90043-916e-4c05-8e1f-6cfc771dc186","2121cd939eb18e4942dc891e4d49dd06",2025-01-02 06:55:00,"Naogaon","Dhamoirhat","Green Chilli",12,60
"061af77e-cb04-4b69-a065-d64bcda61416","4967a500b3dfcc1bd2ff55e257da144b",2024-12-25 20:07:42,"Dhaka","Mirpur","Soybean Oil",4,180
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Rice",1,65
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Flour",2,45
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Lentil",3,100
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Soybean Oil",4,210
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Salt",5,42
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Sugar",6,130
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Eggs",7,50
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Chicken",8,165
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Potato",9,70
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Eggplant",10,50
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Onion",11,70
"0ad68c9f-4ccc-4805-a070-aa1f3c20a455","fe131476aa453d8177177dbc868e8265",2024-12-24 16:09:57,"Comilla","Comilla Adarsha Sadar","Green Chilli",12,80
"0b09616e-a266-4358-88fe-f34035a74c79","def257dca811221bae96896a448afced",2025-01-03 08:56:39,"Naogaon","Dhamoirhat","Chicken",8,300
"0b09616e-a266-4358-88fe-f34035a74c79","def257dca811221bae96896a448afced",2025-01-03 08:56:39,"Naogaon","Dhamoirhat","Potato",9,60
"0b09616e-a266-4358-88fe-f34035a74c79","def257dca811221bae96896a448afced",2025-01-03 08:56:39,"Naogaon","Dhamoirhat","Eggplant",10,20
"0b09616e-a266-4358-88fe-f34035a74c79","def257dca811221bae96896a448afced",2025-01-03 08:56:39,"Naogaon","Dhamoirhat","Onion",11,60
"0d0c12a3-2709-462b-a6f7-37fc17167c27","b0090872a6819c04bf810bd47f50ede1",2024-12-30 04:32:18,"Rajshahi","Matihar","Lentil",3,170
"0d0c12a3-2709-462b-a6f7-37fc17167c27","b0090872a6819c04bf810bd47f50ede1",2024-12-30 04:32:18,"Rajshahi","Matihar","Soybean Oil",4,170
"0d0c12a3-2709-462b-a6f7-37fc17167c27","b0090872a6819c04bf810bd47f50ede1",2024-12-30 04:32:18,"Rajshahi","Matihar","Eggs",7,44
"0d0c12a3-2709-462b-a6f7-37fc17167c27","b0090872a6819c04bf810bd47f50ede1",2024-12-30 04:32:18,"Rajshahi","Matihar","Potato",9,50
"0d56c674-43b8-4f60-a1bb-8fb8907c31aa","886e897b7c9a8a66297d024a696f2c93",2025-01-06 07:36:22,"Gaibandha","Sadullapur","Eggplant",10,30
"0d56c674-43b8-4f60-a1bb-8fb8907c31aa","886e897b7c9a8a66297d024a696f2c93",2025-01-06 07:36:22,"Gaibandha","Sadullapur","Onion",11,50
"0d56c674-43b8-4f60-a1bb-8fb8907c31aa","886e897b7c9a8a66297d024a696f2c93",2025-01-06 07:36:22,"Gaibandha","Sadullapur","Green Chilli",12,30
"0e3b61f1-8e21-4f05-aea0-b7226a0946e6","173dcb872759ee4b05745b23a2e7ae34",2024-11-30 23:48:36,"Dhaka","Dhanmondi","Rice",1,66
"0e3b61f1-8e21-4f05-aea0-b7226a0946e6","173dcb872759ee4b05745b23a2e7ae34",2024-11-30 23:48:36,"Dhaka","Dhanmondi","Soybean Oil",4,167
"1060be3c-c5e8-4d8f-8d80-3da4d21ec5c1","c15251cff68faccf4b27b37e8eb11447",2024-12-14 15:05:30,"Rajshahi","Matihar","Eggs",7,46
"1060be3c-c5e8-4d8f-8d80-3da4d21ec5c1","c15251cff68faccf4b27b37e8eb11447",2024-12-14 15:05:30,"Rajshahi","Matihar","Potato",9,100
"1060be3c-c5e8-4d8f-8d80-3da4d21ec5c1","c15251cff68faccf4b27b37e8eb11447",2024-12-14 15:05:30,"Rajshahi","Matihar","Eggplant",10,50
"1060be3c-c5e8-4d8f-8d80-3da4d21ec5c1","c15251cff68faccf4b27b37e8eb11447",2024-12-14 15:05:30,"Rajshahi","Matihar","Onion",11,100
"1060be3c-c5e8-4d8f-8d80-3da4d21ec5c1","c15251cff68faccf4b27b37e8eb11447",2024-12-14 15:05:30,"Rajshahi","Matihar","Green Chilli",12,80
"111d4957-a14c-4d2c-b71b-510e3e93b106","b1d010371fae7901b9fd0ed15188a671",2024-12-29 14:57:16,"Rajshahi","Matihar","Onion",11,60
"1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",2024-12-14 13:46:04,"Pabna","Sujanagar","Rice",1,70
"1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",2024-12-14 13:46:04,"Pabna","Sujanagar","Flour",2,53
"1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",2024-12-14 13:46:04,"Pabna","Sujanagar","Lentil",3,160
"1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",2024-12-14 13:46:04,"Pabna","Sujanagar","Soybean Oil",4,155
"1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",2024-12-14 13:46:04,"Pabna","Sujanagar","Salt",5,40
"1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",2024-12-14 13:46:04,"Pabna","Sujanagar","Sugar",6,140
"1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",2024-12-14 13:46:04,"Pabna","Sujanagar","Eggs",7,50
"1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",2024-12-14 13:46:04,"Pabna","Sujanagar","Chicken",8,350
"1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",2024-12-14 13:46:04,"Pabna","Sujanagar","Potato",9,70
"1525439c-f474-4598-98e0-648b57b5550c","f73147df75234144d55243229ca6726b",2024-12-14 13:46:04,"Pabna","Sujanagar","Eggplant",10,50
"15cf9a50-a5d1-46b2-be55-10803a30b922","12bc8f52864c56c3dfbd8905a123f20c",2025-01-01 11:13:13,"Rajshahi","Matihar","Onion",11,80
"1692dbc9-50cc-4fc0-8259-ab12afa8b12c","f0a655c83df418c338ce9002265022e7",2024-12-21 17:12:54,"Dhaka","Keraniganj","Rice",1,80
"1692dbc9-50cc-4fc0-8259-ab12afa8b12c","f0a655c83df418c338ce9002265022e7",2024-12-21 17:12:54,"Dhaka","Keraniganj","Flour",2,40
"1692dbc9-50cc-4fc0-8259-ab12afa8b12c","f0a655c83df418c338ce9002265022e7",2024-12-21 17:12:54,"Dhaka","Keraniganj","Soybean Oil",4,170
"1692dbc9-50cc-4fc0-8259-ab12afa8b12c","f0a655c83df418c338ce9002265022e7",2024-12-21 17:12:54,"Dhaka","Keraniganj","Eggs",7,50
"1692dbc9-50cc-4fc0-8259-ab12afa8b12c","f0a655c83df418c338ce9002265022e7",2024-12-21 17:12:54,"Dhaka","Keraniganj","Chicken",8,220
"1692dbc9-50cc-4fc0-8259-ab12afa8b12c","f0a655c83df418c338ce9002265022e7",2024-12-21 17:12:54,"Dhaka","Keraniganj","Potato",9,50
"1692dbc9-50cc-4fc0-8259-ab12afa8b12c","f0a655c83df418c338ce9002265022e7",2024-12-21 17:12:54,"Dhaka","Keraniganj","Eggplant",10,50
"1692dbc9-50cc-4fc0-8259-ab12afa8b12c","f0a655c83df418c338ce9002265022e7",2024-12-21 17:12:54,"Dhaka","Keraniganj","Onion",11,90
"16ea9f01-576f-48d0-bca4-3fbe0172936c",NA,2025-01-23 16:00:02,"Rajshahi","Boalia","Eggs",7,45
"19b375a0-13f7-4f6d-b49d-beda2e3ff268","fe131476aa453d8177177dbc868e8265",2024-12-15 12:52:58,"Rajshahi","Matihar","Rice",1,60
"19b375a0-13f7-4f6d-b49d-beda2e3ff268","fe131476aa453d8177177dbc868e8265",2024-12-15 12:52:58,"Rajshahi","Matihar","Lentil",3,110
"19b375a0-13f7-4f6d-b49d-beda2e3ff268","fe131476aa453d8177177dbc868e8265",2024-12-15 12:52:58,"Rajshahi","Matihar","Soybean Oil",4,190
"19b375a0-13f7-4f6d-b49d-beda2e3ff268","fe131476aa453d8177177dbc868e8265",2024-12-15 12:52:58,"Rajshahi","Matihar","Salt",5,40
"19b375a0-13f7-4f6d-b49d-beda2e3ff268","fe131476aa453d8177177dbc868e8265",2024-12-15 12:52:58,"Rajshahi","Matihar","Eggs",7,44
"19b375a0-13f7-4f6d-b49d-beda2e3ff268","fe131476aa453d8177177dbc868e8265",2024-12-15 12:52:58,"Rajshahi","Matihar","Chicken",8,175
"19b375a0-13f7-4f6d-b49d-beda2e3ff268","fe131476aa453d8177177dbc868e8265",2024-12-15 12:52:58,"Rajshahi","Matihar","Potato",9,80
"19b375a0-13f7-4f6d-b49d-beda2e3ff268","fe131476aa453d8177177dbc868e8265",2024-12-15 12:52:58,"Rajshahi","Matihar","Onion",11,100
"19b375a0-13f7-4f6d-b49d-beda2e3ff268","fe131476aa453d8177177dbc868e8265",2024-12-15 12:52:58,"Rajshahi","Matihar","Green Chilli",12,100
"1f2399f8-df23-4ade-9d85-fe0ef90581d5","2121cd939eb18e4942dc891e4d49dd06",2024-12-29 10:55:11,"Naogaon","Dhamoirhat","Eggs",7,48
"228625d6-bc6c-4776-b20b-8ac43923c8d2","24d4f26a0359322aa9de9b83d25d2875",2024-12-02 12:06:00,"Dhaka","Mohammadpur","Rice",1,73
"228625d6-bc6c-4776-b20b-8ac43923c8d2","24d4f26a0359322aa9de9b83d25d2875",2024-12-02 12:06:00,"Dhaka","Mohammadpur","Flour",2,60
"228625d6-bc6c-4776-b20b-8ac43923c8d2","24d4f26a0359322aa9de9b83d25d2875",2024-12-02 12:06:00,"Dhaka","Mohammadpur","Lentil",3,155
"228625d6-bc6c-4776-b20b-8ac43923c8d2","24d4f26a0359322aa9de9b83d25d2875",2024-12-02 12:06:00,"Dhaka","Mohammadpur","Soybean Oil",4,167
"228625d6-bc6c-4776-b20b-8ac43923c8d2","24d4f26a0359322aa9de9b83d25d2875",2024-12-02 12:06:00,"Dhaka","Mohammadpur","Salt",5,42
"228625d6-bc6c-4776-b20b-8ac43923c8d2","24d4f26a0359322aa9de9b83d25d2875",2024-12-02 12:06:00,"Dhaka","Mohammadpur","Eggs",7,50
"228625d6-bc6c-4776-b20b-8ac43923c8d2","24d4f26a0359322aa9de9b83d25d2875",2024-12-02 12:06:00,"Dhaka","Mohammadpur","Potato",9,70
"228625d6-bc6c-4776-b20b-8ac43923c8d2","24d4f26a0359322aa9de9b83d25d2875",2024-12-02 12:06:00,"Dhaka","Mohammadpur","Onion",11,120
"228625d6-bc6c-4776-b20b-8ac43923c8d2","24d4f26a0359322aa9de9b83d25d2875",2024-12-02 12:06:00,"Dhaka","Mohammadpur","Green Chilli",12,100
"2342d437-2ef6-4c6e-a565-9fa566c012c6","7ceac72b25b304a7f5f0783c2498e89a",2024-12-23 02:51:21,"Dhaka","Adabor","Chicken",8,200
"2342d437-2ef6-4c6e-a565-9fa566c012c6","7ceac72b25b304a7f5f0783c2498e89a",2024-12-23 02:51:21,"Dhaka","Adabor","Potato",9,80
"23469788-b09a-47ac-b461-134b6363aa58","2121cd939eb18e4942dc891e4d49dd06",2024-12-20 08:21:58,"Rajshahi","Boalia","Soybean Oil",4,170
"23469788-b09a-47ac-b461-134b6363aa58","2121cd939eb18e4942dc891e4d49dd06",2024-12-20 08:21:58,"Rajshahi","Boalia","Chicken",8,180
"23469788-b09a-47ac-b461-134b6363aa58","2121cd939eb18e4942dc891e4d49dd06",2024-12-20 08:21:58,"Rajshahi","Boalia","Onion",11,60
"23469788-b09a-47ac-b461-134b6363aa58","2121cd939eb18e4942dc891e4d49dd06",2024-12-20 08:21:58,"Rajshahi","Boalia","Green Chilli",12,60
"251325aa-d7c3-4537-a9c6-aab58951d6b8","2121cd939eb18e4942dc891e4d49dd06",2025-01-06 18:16:21,"Rajshahi","Boalia","Rice",1,78
"251325aa-d7c3-4537-a9c6-aab58951d6b8","2121cd939eb18e4942dc891e4d49dd06",2025-01-06 18:16:21,"Rajshahi","Boalia","Lentil",3,110
"251325aa-d7c3-4537-a9c6-aab58951d6b8","2121cd939eb18e4942dc891e4d49dd06",2025-01-06 18:16:21,"Rajshahi","Boalia","Sugar",6,120
"251325aa-d7c3-4537-a9c6-aab58951d6b8","2121cd939eb18e4942dc891e4d49dd06",2025-01-06 18:16:21,"Rajshahi","Boalia","Eggs",7,40
"251325aa-d7c3-4537-a9c6-aab58951d6b8","2121cd939eb18e4942dc891e4d49dd06",2025-01-06 18:16:21,"Rajshahi","Boalia","Green Chilli",12,60
"2597438d-7052-420a-acaa-ea45a8b61b29",NA,2025-01-19 15:06:32,"Rajshahi","Matihar","Potato",9,30
"2597438d-7052-420a-acaa-ea45a8b61b29",NA,2025-01-19 15:06:32,"Rajshahi","Matihar","Eggplant",10,30
"2597438d-7052-420a-acaa-ea45a8b61b29",NA,2025-01-19 15:06:32,"Rajshahi","Matihar","Onion",11,50
"2597438d-7052-420a-acaa-ea45a8b61b29",NA,2025-01-19 15:06:32,"Rajshahi","Matihar","Green Chilli",12,60
"27584ebd-076f-49fe-af09-15da3d4f75e5","2121cd939eb18e4942dc891e4d49dd06",2025-01-06 18:17:32,"Rajshahi","Boalia","Lentil",3,140
"27584ebd-076f-49fe-af09-15da3d4f75e5","2121cd939eb18e4942dc891e4d49dd06",2025-01-06 18:17:32,"Rajshahi","Boalia","Sugar",6,140
"27584ebd-076f-49fe-af09-15da3d4f75e5","2121cd939eb18e4942dc891e4d49dd06",2025-01-06 18:17:32,"Rajshahi","Boalia","Eggs",7,44
"284e84b7-0256-451a-8419-ccda327a9498","2121cd939eb18e4942dc891e4d49dd06",2024-12-30 11:53:49,"Naogaon","Dhamoirhat","Soybean Oil",4,190
"284e84b7-0256-451a-8419-ccda327a9498","2121cd939eb18e4942dc891e4d49dd06",2024-12-30 11:53:49,"Naogaon","Dhamoirhat","Sugar",6,125
"293f4c95-e57b-473f-8e42-32f43a408828","b1d010371fae7901b9fd0ed15188a671",2024-12-29 15:12:09,"Bogra","Nandigram","Onion",11,50
"298bd292-d46f-45f5-8f07-9e851da59d8d","2121cd939eb18e4942dc891e4d49dd06",2025-01-11 07:35:32,"Rajshahi","Boalia","Rice",1,60
"298bd292-d46f-45f5-8f07-9e851da59d8d","2121cd939eb18e4942dc891e4d49dd06",2025-01-11 07:35:32,"Rajshahi","Boalia","Lentil",3,120
"298bd292-d46f-45f5-8f07-9e851da59d8d","2121cd939eb18e4942dc891e4d49dd06",2025-01-11 07:35:32,"Rajshahi","Boalia","Soybean Oil",4,185
"298bd292-d46f-45f5-8f07-9e851da59d8d","2121cd939eb18e4942dc891e4d49dd06",2025-01-11 07:35:32,"Rajshahi","Boalia","Eggs",7,40
"298bd292-d46f-45f5-8f07-9e851da59d8d","2121cd939eb18e4942dc891e4d49dd06",2025-01-11 07:35:32,"Rajshahi","Boalia","Chicken",8,190
"298bd292-d46f-45f5-8f07-9e851da59d8d","2121cd939eb18e4942dc891e4d49dd06",2025-01-11 07:35:32,"Rajshahi","Boalia","Potato",9,40
"298bd292-d46f-45f5-8f07-9e851da59d8d","2121cd939eb18e4942dc891e4d49dd06",2025-01-11 07:35:32,"Rajshahi","Boalia","Onion",11,50
"298bd292-d46f-45f5-8f07-9e851da59d8d","2121cd939eb18e4942dc891e4d49dd06",2025-01-11 07:35:32,"Rajshahi","Boalia","Green Chilli",12,60
"2a402d5d-568b-44cf-9993-503758745d37","cace0976269890ca006283f9703bae92",2024-12-17 13:37:44,"Jessore","Kotwali","Rice",1,70
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Rice",1,60
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Flour",2,45
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Lentil",3,130
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Soybean Oil",4,200
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Salt",5,40
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Sugar",6,130
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Eggs",7,46
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Chicken",8,170
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Potato",9,80
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Eggplant",10,70
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Onion",11,80
"2a796a9f-9e85-4613-b89a-524ba8699a08","592b044c1703d539761e02611764d8ba",2024-12-18 16:12:47,"Rajshahi","Boalia","Green Chilli",12,80
"2c702645-a666-4b1a-a901-07a8f405beb5","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:38:38,"Rajshahi","Boalia","Rice",1,60
"2c702645-a666-4b1a-a901-07a8f405beb5","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:38:38,"Rajshahi","Boalia","Flour",2,60
"2c702645-a666-4b1a-a901-07a8f405beb5","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:38:38,"Rajshahi","Boalia","Lentil",3,110
"2c702645-a666-4b1a-a901-07a8f405beb5","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:38:38,"Rajshahi","Boalia","Salt",5,40
"2c702645-a666-4b1a-a901-07a8f405beb5","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:38:38,"Rajshahi","Boalia","Eggs",7,48
"2c702645-a666-4b1a-a901-07a8f405beb5","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:38:38,"Rajshahi","Boalia","Chicken",8,180
"2c702645-a666-4b1a-a901-07a8f405beb5","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:38:38,"Rajshahi","Boalia","Potato",9,100
"2c702645-a666-4b1a-a901-07a8f405beb5","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:38:38,"Rajshahi","Boalia","Eggplant",10,50
"2c702645-a666-4b1a-a901-07a8f405beb5","2121cd939eb18e4942dc891e4d49dd06",2024-12-13 13:38:38,"Rajshahi","Boalia","Onion",11,80
"2cded36d-9c5d-49d7-acec-e7ba6d7c0be5","b418c84c822c5c94b4d00209baf0a8ec",2024-12-24 00:57:37,"Cox'S Bazar","Ukhia","Rice",1,65
"2cded36d-9c5d-49d7-acec-e7ba6d7c0be5","b418c84c822c5c94b4d00209baf0a8ec",2024-12-24 00:57:37,"Cox'S Bazar","Ukhia","Flour",2,58
"2cded36d-9c5d-49d7-acec-e7ba6d7c0be5","b418c84c822c5c94b4d00209baf0a8ec",2024-12-24 00:57:37,"Cox'S Bazar","Ukhia","Lentil",3,140
"2cded36d-9c5d-49d7-acec-e7ba6d7c0be5","b418c84c822c5c94b4d00209baf0a8ec",2024-12-24 00:57:37,"Cox'S Bazar","Ukhia","Soybean Oil",4,180
"2cded36d-9c5d-49d7-acec-e7ba6d7c0be5","b418c84c822c5c94b4d00209baf0a8ec",2024-12-24 00:57:37,"Cox'S Bazar","Ukhia","Salt",5,45
"2cded36d-9c5d-49d7-acec-e7ba6d7c0be5","b418c84c822c5c94b4d00209baf0a8ec",2024-12-24 00:57:37,"Cox'S Bazar","Ukhia","Sugar",6,150
